locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPJMNOPJ_00039	gene	828	yafJ			
HPJMNOPJ_00039	CDS	828	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
HPJMNOPJ_00040	gene	984	rbn			
HPJMNOPJ_00040	CDS	984	rbn	3.1.26.11		Ribonuclease BN
HPJMNOPJ_00041	gene	2184	btuB_1			
HPJMNOPJ_00041	CDS	2184	btuB_1			Vitamin B12 transporter BtuB
HPJMNOPJ_00042	gene	1695	yddA			
HPJMNOPJ_00042	CDS	1695	yddA		COG4178	Inner membrane ABC transporter ATP-binding protein YddA
HPJMNOPJ_00043	gene	555	hutZ_1			
HPJMNOPJ_00043	CDS	555	hutZ_1	1.14.99.58	COG0748	Heme oxygenase HutZ
HPJMNOPJ_00044	gene	1350	gdhA			
HPJMNOPJ_00044	CDS	1350	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
HPJMNOPJ_00045	gene	627				
HPJMNOPJ_00045	CDS	627				hypothetical protein
HPJMNOPJ_00046	gene	1479	mltF			
HPJMNOPJ_00046	CDS	1479	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
HPJMNOPJ_00047	gene	147				
HPJMNOPJ_00047	CDS	147				hypothetical protein
HPJMNOPJ_00048	gene	537	dsbB			
HPJMNOPJ_00048	CDS	537	dsbB		COG1495	Disulfide bond formation protein B
HPJMNOPJ_00049	gene	1542	nhaB			
HPJMNOPJ_00049	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
HPJMNOPJ_00050	gene	726	fadR			
HPJMNOPJ_00050	CDS	726	fadR		COG2186	Fatty acid metabolism regulator protein
HPJMNOPJ_00051	gene	1038	potA_1			
HPJMNOPJ_00051	CDS	1038	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
HPJMNOPJ_00052	gene	1659				
HPJMNOPJ_00052	CDS	1659				hypothetical protein
HPJMNOPJ_00053	gene	1014	futA1			
HPJMNOPJ_00053	CDS	1014	futA1			Iron uptake protein A1
HPJMNOPJ_00054	gene	1215	alaA			
HPJMNOPJ_00054	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
HPJMNOPJ_00055	gene	1296	menF			
HPJMNOPJ_00055	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
HPJMNOPJ_00056	gene	1707	menD			
HPJMNOPJ_00056	CDS	1707	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
HPJMNOPJ_00057	gene	744	menH			
HPJMNOPJ_00057	CDS	744	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HPJMNOPJ_00058	gene	1731	fhaC_1			
HPJMNOPJ_00058	CDS	1731	fhaC_1		COG2831	Filamentous hemagglutinin transporter protein FhaC
HPJMNOPJ_00059	gene	7848	ibpA			
HPJMNOPJ_00059	CDS	7848	ibpA			Protein adenylyltransferase and cysteine protease IbpA
HPJMNOPJ_00060	gene	111	era_1			
HPJMNOPJ_00060	CDS	111	era_1		COG1159	GTPase Era
HPJMNOPJ_00061	gene	198				
HPJMNOPJ_00061	CDS	198				hypothetical protein
HPJMNOPJ_00062	gene	1722	fhaC_2			
HPJMNOPJ_00062	CDS	1722	fhaC_2		COG2831	Filamentous hemagglutinin transporter protein FhaC
HPJMNOPJ_00063	gene	11760				
HPJMNOPJ_00063	CDS	11760				hypothetical protein
HPJMNOPJ_00064	gene	921	era_2			
HPJMNOPJ_00064	CDS	921	era_2		COG1159	GTPase Era
HPJMNOPJ_00065	gene	678	rnc			
HPJMNOPJ_00065	CDS	678	rnc	3.1.26.3	COG0571	Ribonuclease 3
HPJMNOPJ_00066	gene	1023	lepB			
HPJMNOPJ_00066	CDS	1023	lepB	3.4.21.89	COG0681	Signal peptidase I
HPJMNOPJ_00067	gene	1797	lepA			
HPJMNOPJ_00067	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
HPJMNOPJ_00068	gene	384	grcA			
HPJMNOPJ_00068	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
HPJMNOPJ_00069	gene	669	ung			
HPJMNOPJ_00069	CDS	669	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
HPJMNOPJ_00070	gene	777	yaaA			
HPJMNOPJ_00070	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
HPJMNOPJ_00071	gene	567				
HPJMNOPJ_00071	CDS	567				hypothetical protein
HPJMNOPJ_00072	gene	915	fieF			
HPJMNOPJ_00072	CDS	915	fieF		COG0053	Ferrous-iron efflux pump FieF
HPJMNOPJ_00073	gene	966	pfkA			
HPJMNOPJ_00073	CDS	966	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
HPJMNOPJ_00074	gene	1191	rlmC			
HPJMNOPJ_00074	CDS	1191	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
HPJMNOPJ_00075	gene	1056	nagZ			
HPJMNOPJ_00075	CDS	1056	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
HPJMNOPJ_00076	gene	351				
HPJMNOPJ_00076	CDS	351				hypothetical protein
HPJMNOPJ_00077	gene	351				
HPJMNOPJ_00077	CDS	351		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
HPJMNOPJ_00078	gene	852	focA			
HPJMNOPJ_00078	CDS	852	focA		COG2116	putative formate transporter 1
HPJMNOPJ_00079	gene	2325	pflB			
HPJMNOPJ_00079	CDS	2325	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
HPJMNOPJ_00080	gene	2040	lip-1			
HPJMNOPJ_00080	CDS	2040	lip-1	3.1.1.3		Lipase 1
HPJMNOPJ_00081	gene	741	pflA			
HPJMNOPJ_00081	CDS	741	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
HPJMNOPJ_00082	gene	501	tadA			
HPJMNOPJ_00082	CDS	501	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
HPJMNOPJ_00083	gene	852	thyA			
HPJMNOPJ_00083	CDS	852	thyA	2.1.1.45	COG0207	Thymidylate synthase
HPJMNOPJ_00084	gene	813	lgt			
HPJMNOPJ_00084	CDS	813	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
HPJMNOPJ_00085	gene	795				
HPJMNOPJ_00085	CDS	795				hypothetical protein
HPJMNOPJ_00086	gene	597	rppH			
HPJMNOPJ_00086	CDS	597	rppH	3.6.1.-		RNA pyrophosphohydrolase
HPJMNOPJ_00087	gene	567	ampD			
HPJMNOPJ_00087	CDS	567	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
HPJMNOPJ_00088	gene	435				
HPJMNOPJ_00088	CDS	435				hypothetical protein
HPJMNOPJ_00089	gene	1386				
HPJMNOPJ_00089	CDS	1386				hypothetical protein
HPJMNOPJ_00090	gene	1212	epsF			
HPJMNOPJ_00090	CDS	1212	epsF		COG1459	Type II secretion system protein F
HPJMNOPJ_00091	gene	723				
HPJMNOPJ_00091	CDS	723				hypothetical protein
HPJMNOPJ_00092	gene	621	coaE			
HPJMNOPJ_00092	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
HPJMNOPJ_00093	gene	204	yacG			
HPJMNOPJ_00093	CDS	204	yacG		COG3024	DNA gyrase inhibitor YacG
HPJMNOPJ_00094	gene	270				
HPJMNOPJ_00094	CDS	270				hypothetical protein
HPJMNOPJ_00095	gene	1374	alsT_1			
HPJMNOPJ_00095	CDS	1374	alsT_1		COG1115	Amino-acid carrier protein AlsT
HPJMNOPJ_00096	gene	318	yfiA			
HPJMNOPJ_00096	CDS	318	yfiA		COG1544	Ribosome-associated factor Y
HPJMNOPJ_00097	gene	894	xerD			
HPJMNOPJ_00097	CDS	894	xerD		COG4974	Tyrosine recombinase XerD
HPJMNOPJ_00098	gene	1158	hcaT			
HPJMNOPJ_00098	CDS	1158	hcaT			putative 3-phenylpropionic acid transporter
HPJMNOPJ_00099	gene	828	proC			
HPJMNOPJ_00099	CDS	828	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
HPJMNOPJ_00100	gene	909	rdgC			
HPJMNOPJ_00100	CDS	909	rdgC		COG2974	Recombination-associated protein RdgC
HPJMNOPJ_00101	gene	744				
HPJMNOPJ_00101	CDS	744		3.5.2.20	COG1878	Isatin hydrolase
HPJMNOPJ_00102	gene	1167	oapA			
HPJMNOPJ_00102	CDS	1167	oapA		COG3061	Opacity-associated protein OapA
HPJMNOPJ_00103	gene	1014	epmB			
HPJMNOPJ_00103	CDS	1014	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
HPJMNOPJ_00104	gene	567	efp			
HPJMNOPJ_00104	CDS	567	efp		COG0231	Elongation factor P
HPJMNOPJ_00105	gene	507				
HPJMNOPJ_00105	CDS	507				hypothetical protein
HPJMNOPJ_00106	gene	720	lpxH			
HPJMNOPJ_00106	CDS	720	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
HPJMNOPJ_00107	gene	726	plsC			
HPJMNOPJ_00107	CDS	726	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
HPJMNOPJ_00108	gene	1407	ftsP			
HPJMNOPJ_00108	CDS	1407	ftsP		COG2132	Cell division protein FtsP
HPJMNOPJ_00109	gene	390				
HPJMNOPJ_00109	CDS	390				hypothetical protein
HPJMNOPJ_00110	gene	1533	der			
HPJMNOPJ_00110	CDS	1533	der		COG1160	GTPase Der
HPJMNOPJ_00111	gene	77				
HPJMNOPJ_00111	tRNA	77				tRNA-Asp(gtc)
HPJMNOPJ_00112	gene	77				
HPJMNOPJ_00112	tRNA	77				tRNA-Asp(gtc)
HPJMNOPJ_00113	gene	762	dnaQ			
HPJMNOPJ_00113	CDS	762	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
HPJMNOPJ_00114	gene	465	rnhA			
HPJMNOPJ_00114	CDS	465	rnhA	3.1.26.4	COG0328	Ribonuclease HI
HPJMNOPJ_00115	gene	840				
HPJMNOPJ_00115	CDS	840				hypothetical protein
HPJMNOPJ_00116	gene	612				
HPJMNOPJ_00116	CDS	612				hypothetical protein
HPJMNOPJ_00117	gene	771				
HPJMNOPJ_00117	CDS	771				hypothetical protein
HPJMNOPJ_00118	gene	567				
HPJMNOPJ_00118	CDS	567				hypothetical protein
HPJMNOPJ_00119	gene	702				
HPJMNOPJ_00119	CDS	702			COG0325	Pyridoxal phosphate homeostasis protein
HPJMNOPJ_00120	gene	2448	thrA			
HPJMNOPJ_00120	CDS	2448	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
HPJMNOPJ_00121	gene	957	thrB			
HPJMNOPJ_00121	CDS	957	thrB	2.7.1.39		Homoserine kinase
HPJMNOPJ_00122	gene	1275	thrC			
HPJMNOPJ_00122	CDS	1275	thrC	4.2.3.1	COG0498	Threonine synthase
HPJMNOPJ_00123	gene	723				
HPJMNOPJ_00123	CDS	723				hypothetical protein
HPJMNOPJ_00124	gene	1248	hflK			
HPJMNOPJ_00124	CDS	1248	hflK		COG0330	Modulator of FtsH protease HflK
HPJMNOPJ_00125	gene	888	hflC			
HPJMNOPJ_00125	CDS	888	hflC		COG0330	Modulator of FtsH protease HflC
HPJMNOPJ_00126	gene	543				
HPJMNOPJ_00126	CDS	543				hypothetical protein
HPJMNOPJ_00127	gene	1356	pmbA			
HPJMNOPJ_00127	CDS	1356	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
HPJMNOPJ_00128	gene	540	hpt			
HPJMNOPJ_00128	CDS	540	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
HPJMNOPJ_00129	gene	612	gmhA_1			
HPJMNOPJ_00129	CDS	612	gmhA_1	5.3.1.28	COG0279	Phosphoheptose isomerase
HPJMNOPJ_00130	gene	732	artP			
HPJMNOPJ_00130	CDS	732	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
HPJMNOPJ_00131	gene	723	artI			
HPJMNOPJ_00131	CDS	723	artI		COG0834	ABC transporter arginine-binding protein
HPJMNOPJ_00132	gene	672	artQ			
HPJMNOPJ_00132	CDS	672	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
HPJMNOPJ_00133	gene	684	artM			
HPJMNOPJ_00133	CDS	684	artM		COG4160	Arginine ABC transporter permease protein ArtM
HPJMNOPJ_00134	gene	231				
HPJMNOPJ_00134	CDS	231				hypothetical protein
HPJMNOPJ_00135	gene	774	fecE			
HPJMNOPJ_00135	CDS	774	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
HPJMNOPJ_00136	gene	993	fecD			
HPJMNOPJ_00136	CDS	993	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
HPJMNOPJ_00137	gene	984	fecC			
HPJMNOPJ_00137	CDS	984	fecC		COG0609	Fe(3+) dicitrate transport system permease protein FecC
HPJMNOPJ_00138	gene	897	fecB			
HPJMNOPJ_00138	CDS	897	fecB		COG4594	Fe(3+) dicitrate-binding periplasmic protein
HPJMNOPJ_00139	gene	1545				
HPJMNOPJ_00139	CDS	1545				hypothetical protein
HPJMNOPJ_00140	gene	459	mraZ			
HPJMNOPJ_00140	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
HPJMNOPJ_00141	gene	966	rsmH			
HPJMNOPJ_00141	CDS	966	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
HPJMNOPJ_00142	gene	318	ftsL			
HPJMNOPJ_00142	CDS	318	ftsL		COG3116	Cell division protein FtsL
HPJMNOPJ_00143	gene	1806	ftsI			
HPJMNOPJ_00143	CDS	1806	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
HPJMNOPJ_00144	gene	1485	murE			
HPJMNOPJ_00144	CDS	1485	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
HPJMNOPJ_00145	gene	1383	murF			
HPJMNOPJ_00145	CDS	1383	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
HPJMNOPJ_00146	gene	1083	mraY			
HPJMNOPJ_00146	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
HPJMNOPJ_00147	gene	1305	murD			
HPJMNOPJ_00147	CDS	1305	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
HPJMNOPJ_00148	gene	1191	ftsW			
HPJMNOPJ_00148	CDS	1191	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
HPJMNOPJ_00149	gene	1065	murG			
HPJMNOPJ_00149	CDS	1065	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
HPJMNOPJ_00150	gene	1449	murC			
HPJMNOPJ_00150	CDS	1449	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
HPJMNOPJ_00151	gene	930	ddlB			
HPJMNOPJ_00151	CDS	930	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
HPJMNOPJ_00152	gene	777	ftsQ			
HPJMNOPJ_00152	CDS	777	ftsQ			Cell division protein FtsQ
HPJMNOPJ_00153	gene	1281	ftsA			
HPJMNOPJ_00153	CDS	1281	ftsA		COG0849	Cell division protein FtsA
HPJMNOPJ_00154	gene	1305	ftsZ			
HPJMNOPJ_00154	CDS	1305	ftsZ			Cell division protein FtsZ
HPJMNOPJ_00155	gene	918	lpxC			
HPJMNOPJ_00155	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
HPJMNOPJ_00156	gene	1152	yqhD			
HPJMNOPJ_00156	CDS	1152	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
HPJMNOPJ_00157	gene	1164	pheA			
HPJMNOPJ_00157	CDS	1164	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
HPJMNOPJ_00158	gene	1014	rbsR			
HPJMNOPJ_00158	CDS	1014	rbsR		COG1609	Ribose operon repressor
HPJMNOPJ_00159	gene	921	rbsK			
HPJMNOPJ_00159	CDS	921	rbsK	2.7.1.15	COG0524	Ribokinase
HPJMNOPJ_00160	gene	888	rbsB_1			
HPJMNOPJ_00160	CDS	888	rbsB_1		COG1879	Ribose import binding protein RbsB
HPJMNOPJ_00161	gene	969	rbsC_1			
HPJMNOPJ_00161	CDS	969	rbsC_1		COG1172	Ribose import permease protein RbsC
HPJMNOPJ_00162	gene	1497	rbsA_1			
HPJMNOPJ_00162	CDS	1497	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
HPJMNOPJ_00163	gene	420	rbsD			
HPJMNOPJ_00163	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
HPJMNOPJ_00164	gene	210				
HPJMNOPJ_00164	CDS	210				hypothetical protein
HPJMNOPJ_00165	gene	333				
HPJMNOPJ_00165	CDS	333				hypothetical protein
HPJMNOPJ_00166	gene	555	ytfJ			
HPJMNOPJ_00166	CDS	555	ytfJ		COG3054	putative protein YtfJ
HPJMNOPJ_00167	gene	1239				
HPJMNOPJ_00167	CDS	1239		3.-.-.-	COG0624	putative hydrolase
HPJMNOPJ_00168	gene	729				
HPJMNOPJ_00168	CDS	729				hypothetical protein
HPJMNOPJ_00169	gene	1413	ydgI			
HPJMNOPJ_00169	CDS	1413	ydgI		COG0531	Putative arginine/ornithine antiporter
HPJMNOPJ_00170	gene	1092	ychF			
HPJMNOPJ_00170	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
HPJMNOPJ_00171	gene	585	pth			
HPJMNOPJ_00171	CDS	585	pth	3.1.1.29		Peptidyl-tRNA hydrolase
HPJMNOPJ_00172	gene	441	pasT			
HPJMNOPJ_00172	CDS	441	pasT		COG2867	Persistence and stress-resistance toxin PasT
HPJMNOPJ_00173	gene	300				
HPJMNOPJ_00173	CDS	300				hypothetical protein
HPJMNOPJ_00174	gene	1194				
HPJMNOPJ_00174	CDS	1194		1.14.11.-	COG2850	putative ribosomal oxygenase
HPJMNOPJ_00175	gene	1338	xseA			
HPJMNOPJ_00175	CDS	1338	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
HPJMNOPJ_00176	gene	867	rapZ			
HPJMNOPJ_00176	CDS	867	rapZ		COG1660	RNase adapter protein RapZ
HPJMNOPJ_00177	gene	519	ptsN			
HPJMNOPJ_00177	CDS	519	ptsN		COG1762	Nitrogen regulatory protein
HPJMNOPJ_00178	gene	726	lptB			
HPJMNOPJ_00178	CDS	726	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
HPJMNOPJ_00179	gene	513	lptA			
HPJMNOPJ_00179	CDS	513	lptA		COG1934	Lipopolysaccharide export system protein LptA
HPJMNOPJ_00180	gene	579	lptC			
HPJMNOPJ_00180	CDS	579	lptC		COG3117	Lipopolysaccharide export system protein LptC
HPJMNOPJ_00181	gene	795	mlaF			
HPJMNOPJ_00181	CDS	795	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
HPJMNOPJ_00182	gene	786	mlaE			
HPJMNOPJ_00182	CDS	786	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
HPJMNOPJ_00183	gene	507	mlaD			
HPJMNOPJ_00183	CDS	507	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
HPJMNOPJ_00184	gene	639	mlaC			
HPJMNOPJ_00184	CDS	639	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
HPJMNOPJ_00185	gene	378				
HPJMNOPJ_00185	CDS	378				hypothetical protein
HPJMNOPJ_00186	gene	258				
HPJMNOPJ_00186	CDS	258			COG5007	putative protein
HPJMNOPJ_00187	gene	1278	murA			
HPJMNOPJ_00187	CDS	1278	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
HPJMNOPJ_00188	gene	1977	rnb			
HPJMNOPJ_00188	CDS	1977	rnb	3.1.13.1	COG4776	Exoribonuclease 2
HPJMNOPJ_00189	gene	783	fabI			
HPJMNOPJ_00189	CDS	783	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
HPJMNOPJ_00190	gene	756				
HPJMNOPJ_00190	CDS	756			COG0327	GTP cyclohydrolase 1 type 2 
HPJMNOPJ_00191	gene	630	queE			
HPJMNOPJ_00191	CDS	630	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
HPJMNOPJ_00192	gene	426	queD			
HPJMNOPJ_00192	CDS	426	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
HPJMNOPJ_00193	gene	687	queC			
HPJMNOPJ_00193	CDS	687	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
HPJMNOPJ_00194	gene	672	neuA_1			
HPJMNOPJ_00194	CDS	672	neuA_1	2.7.7.43	COG1083	N-acylneuraminate cytidylyltransferase
HPJMNOPJ_00195	gene	1239				
HPJMNOPJ_00195	CDS	1239				hypothetical protein
HPJMNOPJ_00196	gene	1506	lysU			
HPJMNOPJ_00196	CDS	1506	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
HPJMNOPJ_00197	gene	963	prfB			
HPJMNOPJ_00197	CDS	963	prfB		COG1186	Peptide chain release factor RF2
HPJMNOPJ_00198	gene	684	dsbC			
HPJMNOPJ_00198	CDS	684	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
HPJMNOPJ_00199	gene	1722	recJ			
HPJMNOPJ_00199	CDS	1722	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
HPJMNOPJ_00200	gene	669				
HPJMNOPJ_00200	CDS	669				hypothetical protein
HPJMNOPJ_00201	gene	690	mtnN			
HPJMNOPJ_00201	CDS	690	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
HPJMNOPJ_00202	gene	1485	pepA			
HPJMNOPJ_00202	CDS	1485	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
HPJMNOPJ_00203	gene	1107	lptF			
HPJMNOPJ_00203	CDS	1107	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
HPJMNOPJ_00204	gene	1071	lptG			
HPJMNOPJ_00204	CDS	1071	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
HPJMNOPJ_00205	gene	351	frdD			
