locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDBHNIBC_00047	CDS	630	dnaJ_1			Chaperone protein DnaJ
JDBHNIBC_00048	CDS	987	cobS	6.6.1.2		Aerobic cobaltochelatase subunit CobS
JDBHNIBC_00049	CDS	1914	cobT	6.6.1.2		Aerobic cobaltochelatase subunit CobT
JDBHNIBC_00050	CDS	993				hypothetical protein
JDBHNIBC_00051	CDS	750				hypothetical protein
JDBHNIBC_00052	CDS	2430	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
JDBHNIBC_00053	CDS	423	zntR		COG0789	HTH-type transcriptional regulator ZntR
JDBHNIBC_00054	CDS	816				hypothetical protein
JDBHNIBC_00055	CDS	294	rpmB		COG0227	50S ribosomal protein L28
JDBHNIBC_00056	CDS	672	yhhQ		COG1738	Queuosine precursor transporter
JDBHNIBC_00057	CDS	4323				hypothetical protein
JDBHNIBC_00058	CDS	129				hypothetical protein
JDBHNIBC_00059	CDS	1557				hypothetical protein
JDBHNIBC_00060	CDS	360				hypothetical protein
JDBHNIBC_00061	CDS	1080				hypothetical protein
JDBHNIBC_00062	CDS	375				hypothetical protein
JDBHNIBC_00063	CDS	1146				hypothetical protein
JDBHNIBC_00064	CDS	546				hypothetical protein
JDBHNIBC_00065	CDS	684	walR		COG0745	Transcriptional regulatory protein WalR
JDBHNIBC_00066	CDS	462				hypothetical protein
JDBHNIBC_00067	CDS	807	xthA_1	3.1.11.2	COG0708	Exodeoxyribonuclease III
JDBHNIBC_00068	CDS	672				hypothetical protein
JDBHNIBC_00069	CDS	687	aqpZ2			Aquaporin Z 2
JDBHNIBC_00070	CDS	273				hypothetical protein
JDBHNIBC_00071	CDS	624	ftsE		COG2884	Cell division ATP-binding protein FtsE
JDBHNIBC_00072	CDS	1002				hypothetical protein
JDBHNIBC_00073	CDS	903				hypothetical protein
JDBHNIBC_00074	CDS	783				hypothetical protein
JDBHNIBC_00075	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
JDBHNIBC_00076	CDS	291				hypothetical protein
JDBHNIBC_00077	tRNA	76				tRNA-Ala(cgc)
JDBHNIBC_00078	CDS	561	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
JDBHNIBC_00079	CDS	1020				hypothetical protein
JDBHNIBC_00080	CDS	966	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
JDBHNIBC_00081	CDS	1107	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
JDBHNIBC_00082	CDS	927				hypothetical protein
JDBHNIBC_00083	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
JDBHNIBC_00084	CDS	2634				hypothetical protein
JDBHNIBC_00085	CDS	1266	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
JDBHNIBC_00086	CDS	183				hypothetical protein
JDBHNIBC_00087	CDS	1407	argH	4.3.2.1	COG0165	Argininosuccinate lyase
JDBHNIBC_00088	CDS	717	tlpA		COG0526	Thiol:disulfide interchange protein TlpA
JDBHNIBC_00089	CDS	486				hypothetical protein
JDBHNIBC_00090	CDS	861				hypothetical protein
JDBHNIBC_00091	CDS	843				hypothetical protein
JDBHNIBC_00092	CDS	204				hypothetical protein
JDBHNIBC_00093	CDS	630		2.5.1.17	COG2096	Corrinoid adenosyltransferase
JDBHNIBC_00094	CDS	732	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
JDBHNIBC_00095	CDS	447				hypothetical protein
JDBHNIBC_00096	CDS	699	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
JDBHNIBC_00097	CDS	747	etfB			Electron transfer flavoprotein subunit beta
JDBHNIBC_00098	CDS	930	etfA		COG2025	Electron transfer flavoprotein subunit alpha
JDBHNIBC_00099	CDS	876	mmgB	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
JDBHNIBC_00100	CDS	984	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
JDBHNIBC_00101	CDS	450	teaD_1		COG0589	TRAP-T-associated universal stress protein TeaD
JDBHNIBC_00102	CDS	1284	mdeA	4.4.1.11		L-methionine gamma-lyase
JDBHNIBC_00103	CDS	1308	exuT			Hexuronate transporter
JDBHNIBC_00104	CDS	945	ansB	3.5.1.1	COG0252	putative L-asparaginase periplasmic
JDBHNIBC_00105	CDS	684				hypothetical protein
JDBHNIBC_00106	CDS	999	ansA	3.5.1.1	COG0252	putative L-asparaginase
JDBHNIBC_00107	CDS	756	glnQ_1			Glutamine transport ATP-binding protein GlnQ
JDBHNIBC_00108	CDS	1452	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
JDBHNIBC_00109	CDS	1014	gbuA_1	3.5.3.7	COG0010	Guanidinobutyrase
JDBHNIBC_00110	CDS	816	artM		COG1126	Arginine transport ATP-binding protein ArtM
JDBHNIBC_00111	CDS	723	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
JDBHNIBC_00112	CDS	501	artQ		COG0765	Arginine transport system permease protein ArtQ
JDBHNIBC_00113	CDS	162				hypothetical protein
JDBHNIBC_00114	CDS	435				hypothetical protein
JDBHNIBC_00115	CDS	306				hypothetical protein
JDBHNIBC_00116	CDS	960	cmpR			HTH-type transcriptional activator CmpR
JDBHNIBC_00117	tRNA	85				tRNA-Leu(caa)
JDBHNIBC_00118	CDS	102				hypothetical protein
JDBHNIBC_00119	CDS	1635	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
JDBHNIBC_00120	CDS	1287				hypothetical protein
JDBHNIBC_00121	CDS	2721	secA		COG0653	Protein translocase subunit SecA
JDBHNIBC_00122	CDS	996	prsA_1	5.2.1.8		Foldase protein PrsA
JDBHNIBC_00123	CDS	1242	oat2	2.3.1.35	COG1364	Glutamate N-acetyltransferase 2
JDBHNIBC_00124	CDS	759				hypothetical protein
JDBHNIBC_00125	CDS	417	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
JDBHNIBC_00126	CDS	306				hypothetical protein
JDBHNIBC_00127	CDS	492				hypothetical protein
JDBHNIBC_00128	CDS	783	gloB_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
JDBHNIBC_00129	CDS	663	yciB			intracellular septation protein A
JDBHNIBC_00130	CDS	1398	ftsY			Signal recognition particle receptor FtsY
JDBHNIBC_00131	CDS	1284	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
JDBHNIBC_00132	CDS	912	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
JDBHNIBC_00133	CDS	534				hypothetical protein
JDBHNIBC_00134	CDS	1212	zapE		COG1485	Cell division protein ZapE
JDBHNIBC_00135	CDS	963	mdh	1.1.1.37		Malate dehydrogenase
JDBHNIBC_00136	CDS	1197	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
JDBHNIBC_00137	CDS	903	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
JDBHNIBC_00138	CDS	3015	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
JDBHNIBC_00139	CDS	1227	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
JDBHNIBC_00140	CDS	414				hypothetical protein
JDBHNIBC_00141	CDS	639	rhtC		COG1280	Threonine efflux protein
JDBHNIBC_00142	CDS	543				hypothetical protein
JDBHNIBC_00143	CDS	1404	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
JDBHNIBC_00144	CDS	1002				hypothetical protein
JDBHNIBC_00145	CDS	948	xerC_1		COG4973	Tyrosine recombinase XerC
JDBHNIBC_00146	CDS	570	rimM		COG0806	Ribosome maturation factor RimM
JDBHNIBC_00147	CDS	735	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
JDBHNIBC_00148	CDS	666				hypothetical protein
JDBHNIBC_00149	CDS	324				hypothetical protein
JDBHNIBC_00150	CDS	363				hypothetical protein
JDBHNIBC_00151	CDS	411				hypothetical protein
JDBHNIBC_00152	CDS	237				hypothetical protein
JDBHNIBC_00153	CDS	1230	pucI		COG1953	putative allantoin permease
JDBHNIBC_00154	CDS	438	rplS		COG0335	50S ribosomal protein L19
JDBHNIBC_00155	CDS	1410	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
JDBHNIBC_00156	CDS	459				hypothetical protein
JDBHNIBC_00157	CDS	399	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
JDBHNIBC_00158	CDS	396				hypothetical protein
JDBHNIBC_00159	CDS	1842	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
JDBHNIBC_00160	CDS	780	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
JDBHNIBC_00161	CDS	372				hypothetical protein
JDBHNIBC_00162	CDS	1245	ubiL_1	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
JDBHNIBC_00163	CDS	903	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
JDBHNIBC_00164	CDS	1302	amt			Ammonia channel
JDBHNIBC_00165	CDS	2454				hypothetical protein
JDBHNIBC_00166	CDS	1482	norG		COG1167	HTH-type transcriptional regulator NorG
JDBHNIBC_00167	CDS	858				hypothetical protein
JDBHNIBC_00168	CDS	657				hypothetical protein
JDBHNIBC_00169	CDS	429				hypothetical protein
JDBHNIBC_00170	CDS	291	yciI		COG2350	Protein YciI
JDBHNIBC_00171	CDS	981	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
JDBHNIBC_00172	CDS	1080	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
JDBHNIBC_00173	CDS	987	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
JDBHNIBC_00174	CDS	708				hypothetical protein
JDBHNIBC_00175	CDS	1377				hypothetical protein
JDBHNIBC_00176	CDS	1572				hypothetical protein
JDBHNIBC_00177	CDS	480				hypothetical protein
JDBHNIBC_00178	CDS	1239	entS_1		COG0477	Enterobactin exporter EntS
JDBHNIBC_00179	CDS	894				hypothetical protein
JDBHNIBC_00180	CDS	789	prs_1			Putative ribose-phosphate pyrophosphokinase
JDBHNIBC_00181	CDS	267	grxC		COG0695	Glutaredoxin 3
JDBHNIBC_00182	CDS	855	nit1	3.5.1.128		Deaminated glutathione amidase
JDBHNIBC_00183	CDS	426				hypothetical protein
JDBHNIBC_00184	CDS	894				hypothetical protein
JDBHNIBC_00185	CDS	747	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
JDBHNIBC_00186	CDS	1272		2.7.2.4	COG0527	Aspartate kinase
JDBHNIBC_00187	CDS	2271	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
JDBHNIBC_00188	CDS	1080	prfA		COG0216	Peptide chain release factor RF1
JDBHNIBC_00189	CDS	888	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
JDBHNIBC_00190	CDS	786				hypothetical protein
JDBHNIBC_00191	CDS	2625	clpB			Chaperone protein ClpB
JDBHNIBC_00192	CDS	1548				hypothetical protein
JDBHNIBC_00193	CDS	1956				hypothetical protein
JDBHNIBC_00194	rRNA	1482				16S ribosomal RNA
JDBHNIBC_00195	tRNA	77				tRNA-Ile(gat)
JDBHNIBC_00196	tRNA	76				tRNA-Ala(tgc)
JDBHNIBC_00197	rRNA	2904				23S ribosomal RNA
JDBHNIBC_00198	rRNA	110				5S ribosomal RNA
JDBHNIBC_00199	tRNA	77				tRNA-Met(cat)
JDBHNIBC_00200	CDS	675				hypothetical protein
JDBHNIBC_00201	CDS	1440				hypothetical protein
JDBHNIBC_00202	CDS	696				IS6 family transposase IS2020
JDBHNIBC_00203	tRNA	90				tRNA-Ser(cga)
JDBHNIBC_00204	CDS	429				hypothetical protein
JDBHNIBC_00205	CDS	204	rpmA		COG0211	50S ribosomal protein L27
JDBHNIBC_00206	CDS	441				hypothetical protein
JDBHNIBC_00207	CDS	558				hypothetical protein
JDBHNIBC_00208	CDS	684				hypothetical protein
JDBHNIBC_00209	CDS	1026	cgtA	3.6.5.-		GTPase Obg/CgtA
JDBHNIBC_00210	CDS	1137	proB	2.7.2.11	COG0263	Glutamate 5-kinase
JDBHNIBC_00211	CDS	1284	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
JDBHNIBC_00212	CDS	675	nadD	2.7.7.18		nicotinate-nucleotide adenylyltransferase
JDBHNIBC_00213	CDS	372	rsfS			Ribosomal silencing factor RsfS
JDBHNIBC_00214	CDS	525	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
JDBHNIBC_00215	CDS	900				hypothetical protein
JDBHNIBC_00216	CDS	1350				hypothetical protein
JDBHNIBC_00217	CDS	1329	ctpB	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpB
JDBHNIBC_00218	CDS	537	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
JDBHNIBC_00219	CDS	255				hypothetical protein
JDBHNIBC_00220	CDS	645				hypothetical protein
JDBHNIBC_00221	CDS	927	hdfR_1			HTH-type transcriptional regulator HdfR
JDBHNIBC_00222	CDS	1497	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
JDBHNIBC_00223	CDS	288				hypothetical protein
JDBHNIBC_00224	CDS	897	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
JDBHNIBC_00225	CDS	642	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
JDBHNIBC_00226	CDS	828				hypothetical protein
JDBHNIBC_00227	CDS	1572	ffh		COG0541	Signal recognition particle protein
JDBHNIBC_00228	CDS	291				hypothetical protein
JDBHNIBC_00229	CDS	405				hypothetical protein
JDBHNIBC_00230	CDS	624	lemA		COG1704	Protein LemA
JDBHNIBC_00231	CDS	768				hypothetical protein
JDBHNIBC_00232	CDS	642				hypothetical protein
JDBHNIBC_00233	CDS	4803	gdhB	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
JDBHNIBC_00234	CDS	1422				hypothetical protein
JDBHNIBC_00235	CDS	1617	purH		COG0138	Bifunctional purine biosynthesis protein PurH
JDBHNIBC_00236	CDS	1716	fzlC			FtsZ-localized protein C
JDBHNIBC_00237	CDS	1398	rsmB_1	2.1.1.176		Ribosomal RNA small subunit methyltransferase B
JDBHNIBC_00238	CDS	978	htpX	3.4.24.-	COG0501	Protease HtpX 
JDBHNIBC_00239	CDS	228				hypothetical protein
JDBHNIBC_00240	CDS	1956	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
JDBHNIBC_00241	CDS	288				hypothetical protein
JDBHNIBC_00242	CDS	531				hypothetical protein
JDBHNIBC_00243	CDS	681			COG0325	Pyridoxal phosphate homeostasis protein
JDBHNIBC_00244	CDS	2634	leuS	6.1.1.4		Leucine--tRNA ligase
JDBHNIBC_00245	CDS	582				hypothetical protein
JDBHNIBC_00246	CDS	654	tal	2.2.1.2	COG0176	Transaldolase
JDBHNIBC_00247	CDS	1005	priA_1	3.6.4.-	COG1198	Primosomal protein N'
JDBHNIBC_00248	CDS	1176	priA_2	3.6.4.-	COG1198	Primosomal protein N'
JDBHNIBC_00249	CDS	414				hypothetical protein
JDBHNIBC_00250	CDS	561	atpH		COG0712	ATP synthase subunit delta
JDBHNIBC_00251	CDS	1530	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
JDBHNIBC_00252	CDS	879	atpG		COG0224	ATP synthase gamma chain
JDBHNIBC_00253	CDS	1566	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
JDBHNIBC_00254	CDS	408	atpC		COG0355	ATP synthase epsilon chain
JDBHNIBC_00255	CDS	438	slyA_1		COG1846	Transcriptional regulator SlyA
JDBHNIBC_00256	CDS	696				hypothetical protein
JDBHNIBC_00257	CDS	1263	dadA1_1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
JDBHNIBC_00258	CDS	1002		5.1.1.8	COG3938	4-hydroxyproline epimerase
JDBHNIBC_00259	CDS	909	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
JDBHNIBC_00260	CDS	1380				hypothetical protein
JDBHNIBC_00261	CDS	1323	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JDBHNIBC_00262	CDS	747	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
JDBHNIBC_00263	CDS	345				hypothetical protein
JDBHNIBC_00264	CDS	1116			COG0683	Leu/Ile/Val-binding protein 
JDBHNIBC_00265	CDS	135				hypothetical protein
JDBHNIBC_00266	CDS	459			COG0683	Leu/Ile/Val-binding protein 
JDBHNIBC_00267	CDS	657	braC_1		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
JDBHNIBC_00268	CDS	3477	pycA	6.4.1.1		Pyruvate carboxylase
JDBHNIBC_00269	CDS	1194	ybjJ			Inner membrane protein YbjJ
JDBHNIBC_00270	CDS	792	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
JDBHNIBC_00271	CDS	1263	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
JDBHNIBC_00272	CDS	915		2.5.1.10		Farnesyl diphosphate synthase
JDBHNIBC_00273	CDS	729	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
JDBHNIBC_00274	CDS	180	rpmF		COG0333	50S ribosomal protein L32
JDBHNIBC_00275	CDS	432				hypothetical protein
JDBHNIBC_00276	CDS	1485	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
JDBHNIBC_00277	CDS	3087				hypothetical protein
JDBHNIBC_00278	CDS	402	hslR		COG1188	Heat shock protein 15
JDBHNIBC_00279	CDS	339	fdxA		COG1146	Ferredoxin-2
JDBHNIBC_00280	CDS	576	carD		COG1329	RNA polymerase-binding transcription factor CarD
JDBHNIBC_00281	CDS	936	rpoH_1		COG0568	RNA polymerase sigma factor RpoH
JDBHNIBC_00282	CDS	729	yiiM		COG2258	Protein YiiM
JDBHNIBC_00283	CDS	1482	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
JDBHNIBC_00284	CDS	726	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
JDBHNIBC_00285	CDS	1632				hypothetical protein
JDBHNIBC_00286	CDS	1005	thiB		COG4143	Thiamine-binding periplasmic protein
JDBHNIBC_00287	CDS	657				hypothetical protein
JDBHNIBC_00288	CDS	285				hypothetical protein
JDBHNIBC_00289	CDS	1818	uup		COG0488	ABC transporter ATP-binding protein uup
JDBHNIBC_00290	CDS	261				hypothetical protein
JDBHNIBC_00291	CDS	819				hypothetical protein
JDBHNIBC_00292	CDS	462				hypothetical protein
JDBHNIBC_00293	CDS	1437	ttuE	2.7.1.40		Pyruvate kinase
JDBHNIBC_00294	CDS	690				hypothetical protein
JDBHNIBC_00295	CDS	1089	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
JDBHNIBC_00296	CDS	489	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
JDBHNIBC_00297	CDS	216				hypothetical protein
JDBHNIBC_00298	CDS	183				hypothetical protein
JDBHNIBC_00299	CDS	1239	ycaD_1			putative MFS-type transporter YcaD
JDBHNIBC_00300	CDS	192				hypothetical protein
JDBHNIBC_00301	CDS	111				hypothetical protein
JDBHNIBC_00302	CDS	1005	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
JDBHNIBC_00303	CDS	690				hypothetical protein
JDBHNIBC_00304	CDS	408				hypothetical protein
JDBHNIBC_00305	CDS	108				hypothetical protein
JDBHNIBC_00306	CDS	633				hypothetical protein
JDBHNIBC_00307	CDS	186				hypothetical protein
JDBHNIBC_00308	CDS	1911	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
JDBHNIBC_00309	CDS	219				hypothetical protein
JDBHNIBC_00310	CDS	1191	pgk	2.7.2.3		Phosphoglycerate kinase
JDBHNIBC_00311	CDS	1008	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
JDBHNIBC_00312	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
JDBHNIBC_00313	CDS	273				hypothetical protein
JDBHNIBC_00314	CDS	366				hypothetical protein
JDBHNIBC_00315	CDS	597		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
JDBHNIBC_00316	CDS	825	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
JDBHNIBC_00317	CDS	744				hypothetical protein
JDBHNIBC_00318	CDS	429				hypothetical protein
JDBHNIBC_00319	CDS	576	bioY2		COG1268	Biotin transporter BioY2
JDBHNIBC_00320	CDS	693	rspR_1		COG1802	HTH-type transcriptional repressor RspR
JDBHNIBC_00321	CDS	747			COG0217	putative transcriptional regulatory protein
JDBHNIBC_00322	CDS	222	rpmE		COG0254	50S ribosomal protein L31
JDBHNIBC_00323	CDS	2046		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
JDBHNIBC_00324	CDS	1032	ompA			Outer membrane protein A
JDBHNIBC_00325	CDS	1050				hypothetical protein
JDBHNIBC_00326	CDS	792	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
JDBHNIBC_00327	CDS	561	efp			Elongation factor P
JDBHNIBC_00328	CDS	1053	esiB			Secretory immunoglobulin A-binding protein EsiB
JDBHNIBC_00329	CDS	666	thiE_1	2.5.1.3		Thiamine-phosphate synthase
JDBHNIBC_00330	CDS	1203				hypothetical protein
JDBHNIBC_00331	CDS	507				hypothetical protein
JDBHNIBC_00332	CDS	522	ruvC	3.1.22.4		Crossover junction endodeoxyribonuclease RuvC
JDBHNIBC_00333	CDS	618	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
JDBHNIBC_00334	CDS	1041	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
JDBHNIBC_00335	CDS	450	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
JDBHNIBC_00336	CDS	711	tolQ_1		COG0811	Tol-Pal system protein TolQ
JDBHNIBC_00337	CDS	453	tolR			Tol-Pal system protein TolR
JDBHNIBC_00338	CDS	1071				hypothetical protein
JDBHNIBC_00339	CDS	1332	tolB		COG0823	Tol-Pal system protein TolB
JDBHNIBC_00340	CDS	507	pal			Peptidoglycan-associated lipoprotein
JDBHNIBC_00341	CDS	117				hypothetical protein
JDBHNIBC_00342	CDS	1455	cpoB			Cell division coordinator CpoB
JDBHNIBC_00343	CDS	1347	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
JDBHNIBC_00344	CDS	1935	ftsH	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
JDBHNIBC_00345	CDS	1380	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
JDBHNIBC_00346	CDS	825				hypothetical protein
JDBHNIBC_00347	CDS	957	panS		COG0385	Pantothenate precursors transporter PanS
JDBHNIBC_00348	CDS	1176	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
JDBHNIBC_00349	CDS	1602	serA_1	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
JDBHNIBC_00350	CDS	510				hypothetical protein
JDBHNIBC_00351	CDS	1290	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
JDBHNIBC_00352	CDS	1398				hypothetical protein
JDBHNIBC_00353	CDS	1353	proP			Proline/betaine transporter
JDBHNIBC_00354	CDS	816				hypothetical protein
JDBHNIBC_00355	CDS	741	egtC	3.5.1.118		Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
JDBHNIBC_00356	CDS	216				hypothetical protein
